What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
Canada,35-39,Systems Analyst,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VBA,Windows 7,Stack Overflow
Germany,40-50,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Manager of Developers or Team Leader,Mobile,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
Germany,30-34,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,35-39,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Objective-C,Windows 7,Stack Overflow
Central America,20-24,Manager of Developers or Team Leader,SaaS,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,AS3,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,"VB, COBOL",Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Systems Analyst,Other,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Server Fault
Netherlands,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Stack Overflow
Russia,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,PowerShell,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,40-50,Database Administrator,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,Java,JavaScript,N/A,N/A,Python,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Web Application Developer,SaaS,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,30-34,Server Programmer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,Visual Basic.NET,Windows XP,Other
Italy,30-34,IT Staff / System Administrator,Mobile,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Server Programmer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Other
Canada,30-34,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,"Groovy, ColdFusion",Mac OS X,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
United States of America,20-24,Other,Other,N/A,N/A,CSS,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Student,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,VB.NET,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,VB,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB,Windows 7,Stack Overflow
South America,30-34,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Other
Other Asia,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,Perl,N/A,XSLT,Mac OS X,Super User
Other Asia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,40-50,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,VB,Windows 7,N/A
United States of America,25-29,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Programmers Stack Exchange
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Systems Analyst,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,ASP,Windows 7,Server Fault
Other Europe,20-24,Web Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows Vista,Stack Overflow
Canada,35-39,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.Net,Windows XP,Stack Overflow
United States of America,25-29,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
South America,20-24,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,Visual Basic,Windows 7,Stack Overflow
United Kingdom,40-50,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Super User
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,C++,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,35-39,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,Server Programmer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,N/A
India,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,< 20,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
United States of America,40-50,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,40-50,Systems Analyst,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,30-34,Systems Analyst,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Other Europe,25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"vb. technologies: asp.net, wpf, wcf",Windows XP,Programmers Stack Exchange
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
Canada,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,30-34,Manager of Developers or Team Leader,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
France,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Other Europe,25-29,Web Application Developer,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Embedded Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,Perl,N/A,Assembler (x86 and win32),Windows XP,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Enterprise,N/A,N/A,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"JavaScript (incl. jQuery), HTML",Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,N/A,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",SaaS,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,ActionScript,Linux,Stack Overflow
Mexico,20-24,Student,Other,N/A,N/A,CSS,PHP,N/A,N/A,N/A,C#,C++,C,N/A,N/A,eiffel,Linux,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,"bash, awk, sed, linc 4gl",Linux,Stack Overflow
United States of America,25-29,Server Programmer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,VB6,Windows XP,Stack Overflow
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Middle East,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Embedded Application Developer,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Australasia,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,35-39,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Stack Overflow
South America,25-29,Systems Analyst,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Central America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Enterprise,Java,JavaScript,N/A,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Italy,40-50,Web Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
Germany,35-39,Desktop Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
Other Europe,40-50,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,"Coldfusion, Sybase Powerbuilder",Windows 7,Stack Overflow
United Kingdom,35-39,Server Programmer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,ARM assembly,Linux,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,classic asp (vbscript),Windows 7,Stack Overflow
United Kingdom,30-34,Other,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"xhtml, html",Linux,Stack Overflow
Australia,40-50,Systems Analyst,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Germany,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Other,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,VHDL,Windows XP,Stack Overflow
India,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
South America,30-34,Systems Analyst,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Middle East,30-34,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
Netherlands,25-29,Web Application Developer,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Student,Other,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,Haskell,Mac OS X,Stack Overflow
United Kingdom,35-39,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,C,Perl,N/A,N/A,Windows 7,Stack Overflow
Middle East,25-29,Student,Other,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,MATLAB,Windows XP,Stack Overflow
Netherlands,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LabVIEW,Windows 7,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Middle East,35-39,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Other
Germany,25-29,Server Programmer,Enterprise,Java,N/A,N/A,N/A,Python,Ruby,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vb.net,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Netherlands,30-34,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
United Kingdom,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB6,Windows 7,Programmers Stack Exchange
Other Europe,30-34,Other,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,30-34,Desktop Application Developer,Other,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,ColdFusion,Windows 7,Stack Overflow
Germany,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,N/A
