What Country do you live in?,How old are you?,What is your gender?,Which of the following best describes your occupation?,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Which technologies are you excited about?,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which desktop operating system do you use the most?,How do you use Stack Overflow?,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,How often do you find solutions to your programming problems on Stack Overflow without asking a new question?
India,30-34,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,20-24,Male,Student,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,N/A,Ask questions to solve problems,N/A,N/A,N/A,N/A,Occasionally
United States,40-50,Male,"Executive (VP of Eng, CTO, CIO, etc.)",N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Always
United States,30-34,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Almost Always
India,30-34,Male,Enterprise Level Services,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
India,20-24,Male,Student,N/A,C++,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,N/A,N/A,N/A,Looking for a job,N/A,N/A,Never
Canada,20-24,Male,Student,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,Go,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States,20-24,Male,Enterprise Level Services,N/A,C++,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Linux,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
India,25-29,Male,Full-Stack Web Developer,C,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,MongoDB,N/A,Go,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
United States,20-24,Male,Student,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Almost Always
United States,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Windows XP,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Always
Brazil,30-34,Male,I don't work in tech,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
United States,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,Looking for a job,N/A,N/A,Almost Always
Mexico,< 20,Male,Student,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
United States,25-29,Male,Mobile Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,N/A
United States,< 20,Prefer not to disclose,Student,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Brazil,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,Node.js,N/A,N/A,N/A,Ruby,SQL,N/A,Node.js,Haskell,N/A,N/A,N/A,Redis,N/A,N/A,Go,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Bolivia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Male,Student,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,Python,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
India,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
United States,< 20,Male,Front-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China,30-34,Male,Mobile Application Developer,N/A,N/A,N/A,Java,N/A,N/A,Objective-C,PHP,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
Japan,30-34,Male,Embedded Application Developer,C,C++,C#,Java,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
Canada,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,Redis,MongoDB,N/A,Go,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Canada,30-34,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,VB.Net,N/A,N/A,CoffeeScript,Dart,N/A,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Norway,20-24,Male,Student,C,C++,C#,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United States,20-24,Male,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,< 20,Male,Student,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United States,< 20,Male,Student,C,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
United States,20-24,Male,Mobile Application Developer,C,C++,C#,Java,JavaScript,Node.js,Objective-C,N/A,Python,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Mac OS X,N/A,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,< 20,Male,Student,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Always
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,25-29,Male,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China,< 20,Male,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States,40-50,Female,Front-End Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,25-29,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United States,40-50,Male,"Executive (VP of Eng, CTO, CIO, etc.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,Redis,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,35-39,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,N/A,N/A,Objective-C,N/A,N/A,N/A,SQL,scala clojure,N/A,Haskell,CoffeeScript,N/A,N/A,N/A,N/A,F#,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Often
Denmark,40-50,Male,Desktop Software Developer,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VB.NET Perl,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows XP,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,Further the mission of making Stack Overflow a high-quality place.,Often
United States,< 20,Male,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States,40-50,Male,"Executive (VP of Eng, CTO, CIO, etc.)",N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,Python,N/A,N/A,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Linux,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
Canada,30-34,Male,Desktop Software Developer,C,C++,C#,N/A,N/A,N/A,Objective-C,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
United States,35-39,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,Node.js,N/A,PHP,Python,N/A,SQL,N/A,Node.js,N/A,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
Norway,< 20,Male,Student,N/A,N/A,N/A,Java,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Russia,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,Ruby,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
Russia,< 20,Male,Full-Stack Web Developer,N/A,N/A,C#,Java,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United States,35-39,Male,Enterprise Level Services,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United States,20-24,Male,Student,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,SQL,"MATLAB, VBA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United Kingdom,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,VB,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Philippines,20-24,Male,Mobile Application Developer,N/A,N/A,N/A,Java,JavaScript,N/A,Objective-C,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,51-60,Male,Enterprise Level Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Canada,35-39,Male,Manager of Developers or Team Leader,C,C++,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,"vb-classic,vb-script,vb.net,C++/CLR,C++/CX,Postscript",N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United States,40-50,Male,Other,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,N/A,Python,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,>60,Male,Other,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Never
Ukraine,< 20,Male,Desktop Software Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,Haskell,N/A,N/A,C++11,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Occasionally
Singapore,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,Ruby,N/A,N/A,N/A,Haskell,N/A,Dart,N/A,Redis,N/A,N/A,N/A,Hadoop,AngularJS,N/A,N/A,Linux,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,< 20,Male,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Male,Desktop Software Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,Haskell,N/A,N/A,N/A,N/A,N/A,F#,Go,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United States,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,Visual Basic.NET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,N/A,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Occasionally
United States,20-24,Male,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ask questions to solve problems,N/A,N/A,N/A,N/A,N/A
United Kingdom,20-24,Male,Student,N/A,N/A,N/A,Java,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Mexico,20-24,Male,Front-End Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
Canada,25-29,Male,I don't work in tech,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Germany,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 8,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
Mexico,25-29,Male,Back-End Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Always
Austria,25-29,Male,Back-End Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cordova,N/A,Windows 8,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
United States,35-39,Male,Full-Stack Web Developer,N/A,N/A,C#,Java,JavaScript,Node.js,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United States,< 20,Male,Student,N/A,C++,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States,51-60,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,"jQuery, Adobe CQ5",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Occasionally
Germany,40-50,Male,Enterprise Level Services,N/A,C++,N/A,Java,N/A,N/A,N/A,N/A,Python,N/A,SQL,Scala,N/A,Haskell,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Debian,N/A,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Often
Brazil,25-29,Male,Student,C,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Fedora,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United Kingdom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hungary,30-34,Male,Full-Stack Web Developer,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
Canada,30-34,Male,Desktop Software Developer,N/A,C++,C#,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,SQL,N/A,Node.js,Haskell,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,MUST... COLLECT... ALL... BADGES!,Often
