What Country or Region do you live in?,How old are you?,Unnamed: 2,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Which technologies are you excited about?,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Which desktop operating system do you use the most?
Netherlands,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Russia,30-34,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,TypeScript,N/A,N/A,N/A,N/A,TypeScript,N/A,N/A,N/A,N/A,F#,N/A,Windows 7
Middle East,35-39,N/A,N/A,C++,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United Kingdom,30-34,N/A,N/A,N/A,C#,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Windows 7
Russia,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
Germany,35-39,N/A,C,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,perl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Linux
Germany,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
India,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Windows XP
India,20-24,N/A,N/A,N/A,C#,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
Other Europe,25-29,Other,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,matlab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
Middle East,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,SQL,Delphi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Germany,20-24,N/A,C,N/A,N/A,Java,N/A,N/A,N/A,N/A,Objective-C,PHP,Python,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Middle East,30-34,Other,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Windows XP
Russia,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Actionscript 3/MXML/Flex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Australia,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Middle East,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 7
Australia,40-50,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Russia,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,25-29,N/A,N/A,N/A,C#,N/A,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,ASP.NET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
Russia,< 20,N/A,C,C++,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,F#,N/A,Haskell,N/A,Dart,N/A,C++11,N/A,N/A,N/A,F#,N/A,Windows 8
Russia,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Other,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,Node.js,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
India,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Other Asia,25-29,N/A,N/A,N/A,C#,N/A,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,N/A,PhoneGap,Windows 7
Africa,25-29,Other,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
India,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,CoffeeScript,Dart,N/A,N/A,N/A,N/A,MongoDB,N/A,PhoneGap,Windows XP
Other Europe,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
Middle East,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,F#,N/A,Windows 7
Australia,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,"ActionScript, HTML, CSS",Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,40-50,N/A,C,C++,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,"Tcl, D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,35-39,N/A,C,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,N/A,N/A,SQL,google-closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
India,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,Delphi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
India,30-34,N/A,N/A,C++,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
France,30-34,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Windows 8
United States of America,30-34,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
Russia,25-29,Other,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,"VB6, VB.NET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,groovy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
India,35-39,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,Dart,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Linux
Canada,35-39,N/A,N/A,N/A,C#,Java,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,35-39,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Boo, Lua, F#",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Linux
Other Asia,30-34,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
South America,20-24,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,N/A,Ruby,N/A,N/A,Node.js,N/A,N/A,Dart,TypeScript,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
Australasia,40-50,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Australia,25-29,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,CoffeeScript,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,Other,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,N/A,N/A,N/A,Windows 7
India,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,Dart,N/A,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 7
Australasia,25-29,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Canada,40-50,N/A,C,N/A,N/A,N/A,JavaScript,jQuery,N/A,Node.js,Objective-C,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Redis,N/A,N/A,N/A,Linux
Australia,51-60,N/A,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Objective C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Russia,25-29,Other,N/A,C++,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
India,25-29,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,PhoneGap,Windows 7
India,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,N/A,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
Other Asia,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,Python,Ruby,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,PhoneGap,Windows 7
United States of America,30-34,N/A,N/A,N/A,C#,Java,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,VB6 :(,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Windows XP
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
South America,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,51-60,Other,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,Python,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,51-60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,Dart,N/A,N/A,N/A,Redis,N/A,N/A,N/A,Linux
France,20-24,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
Canada,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,"BASH, Cygwin",N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Mac OS X
United States of America,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Australasia,35-39,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,< 20,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TypeScript,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 8
Other Asia,20-24,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,"HTML, CSS",Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
United States of America,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,20-24,N/A,N/A,C++,N/A,Java,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
Canada,35-39,N/A,C,C++,N/A,N/A,JavaScript,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Germany,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,N/A,N/A,N/A,C#,N/A,N/A,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 7
Other Europe,25-29,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,Node.js,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,Linux
Australasia,25-29,N/A,N/A,C++,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 8
Canada,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,Node.js,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
Australasia,25-29,Other,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Other,C,C++,C#,Java,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,Python,Ruby,N/A,MySQL,Node.js,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,< 20,N/A,C,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
India,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,Node.js,Objective-C,N/A,Python,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Mac OS X
Canada,< 20,N/A,C,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,Objective-C,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dart, ABAP",N/A,N/A,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,C++,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Australia,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,40-50,N/A,C,C++,C#,Java,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows XP
United States of America,51-60,N/A,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,logic (FOL),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,N/A,N/A,SQL,"ColdFusion, .NET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,< 20,N/A,N/A,C++,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 8
United States of America,25-29,Other,C,N/A,N/A,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Germany,30-34,N/A,C,C++,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
Australasia,35-39,N/A,C,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Middle East,25-29,Other,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Asia,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Canada,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Mac OS X
United States of America,40-50,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tcl/Tk,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,20-24,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Canada,25-29,N/A,C,C++,C#,Java,JavaScript,jQuery,N/A,Node.js,N/A,PHP,N/A,Ruby,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,C++11,N/A,N/A,MongoDB,N/A,PhoneGap,Windows 8
