What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Which desktop operating system do you use the most?,Which of our sites do you frequent most?
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,20-24,Student,Other,Java,N/A,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,Lua,Windows 7,Stack Overflow
India,25-29,Systems Analyst,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,Ruby,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,vb.net,Windows 7,N/A
Middle East,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Netherlands,< 20,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,Assembly,Linux,Stack Overflow
Other Europe,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,Perl,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,25-29,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,N/A
Germany,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Other,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
United Kingdom,35-39,Web Application Developer,SaaS,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Student,None / Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mathematica,Windows XP,Stack Overflow
France,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Web Application Developer,SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
South America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,25-29,Other,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"english, russian :)",Windows 7,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,N/A
France,25-29,Other,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,N/A,N/A,Objective-C,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,25-29,Server Programmer,SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Russia,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,35-39,Server Programmer,SaaS,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,N/A,Perl,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,35-39,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Asia,25-29,Manager of Developers or Team Leader,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Italy,30-34,Server Programmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Linux,N/A
India,25-29,Web Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Asia,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Web Application Developer,Enterprise,Java,N/A,CSS,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,IT Manager,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,20-24,Desktop Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
Russia,25-29,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Italy,25-29,Student,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Embedded Application Developer,Mobile,N/A,N/A,N/A,PHP,N/A,Objective-C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,20-24,IT Staff / System Administrator,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,20-24,Web Application Developer,SaaS,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
France,30-34,Desktop Application Developer,Enterprise,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
India,20-24,Server Programmer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Windows XP,N/A
India,20-24,Web Application Developer,Other,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Netherlands,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,30-34,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
Germany,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,40-50,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Server Fault
Other Europe,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stack Overflow
Russia,20-24,Student,None / Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
India,20-24,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,< 20,IT Staff / System Administrator,Other,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,N/A
India,20-24,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russia,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Australasia,30-34,IT Staff / System Administrator,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Other,Web Platform,N/A,JavaScript,CSS,N/A,N/A,Objective-C,Ruby,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,Ruby,N/A,C#,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
India,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,20-24,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Russia,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,30-34,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Asia,25-29,Web Application Developer,Mobile,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australasia,25-29,Server Programmer,SaaS,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,HTML5,N/A,N/A,Linux,Stack Overflow
United States of America,< 20,Student,Other,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,"Various assembler's languages, VB6",Windows 7,Stack Overflow
India,20-24,Student,None / Unemployed,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,35-39,Embedded Application Developer,Other,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Functional prg. languages,Linux,Stack Overflow
Other Asia,25-29,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,IT Manager,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,VB,Windows 7,Stack Overflow
Other Europe,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows Vista,N/A
Russia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Server Programmer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,< 20,I don't work in tech,None / Unemployed,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,Shell scripting,Mac OS X,Stack Overflow
Canada,20-24,Desktop Application Developer,Other,N/A,JavaScript,N/A,N/A,Python,Objective-C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,Manager of Developers or Team Leader,Enterprise,Java,N/A,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
India,20-24,Embedded Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,Ruby,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Asia,25-29,Other,Other,Java,JavaScript,CSS,N/A,Python,N/A,Ruby,N/A,N/A,N/A,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Australia,< 20,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Australia,35-39,Embedded Application Developer,Other,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,Web Application Developer,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Server Programmer,Mobile,Java,JavaScript,N/A,N/A,N/A,Objective-C,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,25-29,Desktop Application Developer,Enterprise,N/A,N/A,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Student,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,Perl,N/A,N/A,Matlab,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,"jquery, openxml-sdk",Windows 7,Stack Overflow
Australia,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,IT Manager,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,COBOL,Windows 7,Stack Overflow
Other Asia,25-29,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Other,N/A
Australasia,40-50,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,< 20,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,vb.net,Windows 7,N/A
United States of America,< 20,Desktop Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
United Kingdom,40-50,Other,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Other Stack Exchange (please specify)
United States of America,25-29,Manager of Developers or Team Leader,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,Student,Web Platform,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Asia,< 20,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Australasia,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Visual Basic, Progress OpenEdge",Windows 7,Other Stack Exchange (please specify)
Italy,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,25-29,Embedded Application Developer,Mobile,N/A,N/A,CSS,PHP,N/A,Objective-C,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,20-24,IT Staff / System Administrator,Other,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows Vista,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
Other Europe,< 20,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Italy,20-24,Student,Mobile,Java,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Australia,35-39,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,I don't work in tech,Mobile,N/A,N/A,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Italy,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,ASP/VBScript,Windows 7,Stack Overflow
South America,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Canada,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,VB9,Windows XP,Stack Overflow
United Kingdom,>60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
